word_bits,batch,variant,fragment_width,writer_tiles,roles,kernel_ms,trials,throughput_vs_v06,throughput_vs_grouped
32,1,writer-final,16,1,7-12-4,0.235827,1,0.6235333528391576,0.8224079515916328
32,1,writer-final,16,1,7-13-3,0.189747,1,0.7749582338587699,1.0221294671325503
32,1,writer-final,16,2,6-10-6,0.229888,1,0.639641912583519,0.8436543012249443
32,1,writer-final,16,2,6-11-5,0.225075,1,0.6533200044429636,0.8616949905587027
32,1,writer-final,16,2,6-12-4,0.182784,1,0.8044796043417367,1.0610666141456584
32,1,writer-final,16,2,6-13-3,0.199987,1,0.7352777930565487,0.9697930365473756
32,1,writer-final,16,2,6-14-2,0.219546,1,0.6697730771683383,0.8833957348346133
32,1,writer-final,16,2,7-11-5,0.229171,1,0.6416431398388103,0.8462938155351244
32,1,writer-final,16,2,7-12-4,0.233267,1,0.6303763498480283,0.8314335075257109
32,1,writer-final,16,2,7-13-3,0.19968,1,0.7364082532051283,0.9712840544871796
32,1,writer-final,32,1,6-10-6,0.248832,1,0.5909448945473251,0.7794254758230453
32,1,writer-final,32,1,6-11-5,0.262042,1,0.5611543187733264,0.7401332610802849
32,1,writer-final,32,1,6-12-4,0.218317,1,0.673543516995928,0.88836874819643
32,1,writer-final,32,1,6-13-3,0.252518,1,0.5823188841983542,0.7680482183448308
32,1,writer-final,32,1,6-14-2,0.288666,1,0.5093984050771481,0.6718699119397505
32,1,writer-final,32,1,7-11-5,0.261837,1,0.561593663233233,0.7407127334945024
32,1,writer-final,32,1,7-12-4,0.269107,1,0.5464220551676472,0.7207021742280952
32,1,writer-final,32,1,7-13-3,0.253235,1,0.5806701285367347,0.7658735956720043
32,1,writer-final,32,2,6-10-6,0.265626,1,0.5535828570998322,0.7301468982705007
32,1,writer-final,32,2,6-11-5,0.262656,1,0.5598425316764133,0.7384030823586745
32,1,writer-final,32,2,6-12-4,0.219443,1,0.6700874486768774,0.8838103744480343
32,1,writer-final,32,2,6-13-3,0.25385,1,0.5792633444947803,0.7640181209375615
32,1,writer-final,32,2,6-14-2,0.287846,1,0.5108495514962863,0.6737838983345261
32,1,writer-final,32,2,7-11-5,0.263475,1,0.5581022867444729,0.7361077901129139
32,1,writer-final,32,2,7-12-4,0.269107,1,0.5464220551676472,0.7207021742280952
32,1,writer-final,32,2,7-13-3,0.252723,1,0.5818465276211505,0.7674252046707265
32,4,grouped,16,2,6-14-2,0.601395,1,0.5843696738416515,1.0
32,4,v06,0,0,9-11,0.351437,1,1.0,1.7112455432979454
32,4,writer-final,8,1,6-10-6,0.602829,1,0.5829795845919822,0.997621215966717
32,4,writer-final,8,1,6-11-5,0.589619,1,0.5960408331481856,1.0199722193484266
32,4,writer-final,8,1,6-12-4,0.509747,1,0.6894341702844745,1.1797911512966237
32,4,writer-final,8,1,6-13-3,0.545178,1,0.6446279930591476,1.1031167802075652
32,4,writer-final,8,1,6-14-2,0.573338,1,0.6129665223655156,1.048936229588829
32,4,writer-final,8,1,7-11-5,0.576717,1,0.6093751354650547,1.0427904847611567
32,4,writer-final,8,1,7-12-4,0.612864,1,0.5734339102965748,0.9812862233709274
32,4,writer-final,8,1,7-13-3,0.549478,1,0.6395833864140147,1.0944842195683904
32,4,writer-final,8,2,6-10-6,0.577024,1,0.6090509233584739,1.0422356782386868
32,4,writer-final,8,2,6-11-5,0.596685,1,0.5889824614327492,1.0078936122074462
32,4,writer-final,8,2,6-12-4,0.50903,1,0.6904052806317899,1.1814529595505177
32,4,writer-final,8,2,6-13-3,0.548352,1,0.6408967232726425,1.096731661414566
32,4,writer-final,8,2,6-14-2,0.567501,1,0.6192711554693295,1.0597250048898592
32,4,writer-final,8,2,7-11-5,0.577126,1,0.6089432810166238,1.0420514757609256
32,4,writer-final,8,2,7-12-4,0.589517,1,0.5961439619213695,1.0201486980019236
32,4,writer-final,8,2,7-13-3,0.546918,1,0.642577132220918,1.0996072537382204
32,4,writer-final,16,1,6-10-6,0.574054,1,0.6122019879662889,1.0476279235054542
32,4,writer-final,16,1,6-11-5,0.570778,1,0.6157157423726913,1.0536408200736538
32,4,writer-final,16,1,6-12-4,0.513536,1,0.6843473485792623,1.1710863503240279
32,4,writer-final,16,1,6-13-3,0.532173,1,0.6603811166669485,1.1300742427744361
32,4,writer-final,16,1,6-14-2,0.585626,1,0.6001048450717694,1.0269267416405692
32,4,writer-final,16,1,7-11-5,0.571494,1,0.6149443388731991,1.0523207592730635
32,4,writer-final,16,1,7-12-4,0.576512,1,0.6095918211589698,1.0431612871891651
32,4,writer-final,16,1,7-13-3,0.533504,1,0.6587335802543186,1.1272549034309023
32,4,writer-final,16,2,6-10-6,0.574259,1,0.6119834430109062,1.0472539394245455
