case,word_bits,logN,batch,role_stages,data_time,full_replica_rounds,tail_replicas,tokens_per_replica,kernel_ms,token_count,packet_count,serial_slots_per_packet,serial_token_slots,token_capacity_utilization,adjacent_speedup,regret,correct
w32_n12_b80_td3,32,12,80,6,3,0,3,0.5,0.13846,64,22,1,22,0.48484848484848486,1.4269897443304926,2.025394224861765,1
w32_n12_b80_td4,32,12,80,6,4,0,4,0.6666666666666666,0.102774,64,16,1,16,0.6666666666666666,1.3472278981065249,1.5033790702437027,1
w32_n12_b80_td5,32,12,80,6,5,0,5,0.8333333333333334,0.08533,64,13,1,13,0.8205128205128205,1.2044298605414274,1.2482080688101576,1
w32_n12_b80_td6,32,12,80,6,6,1,0,1.0,0.074286,64,11,1,11,0.9696969696969697,1.1486686589666963,1.0866563295398028,1
w32_n12_b80_td7,32,12,80,6,7,1,1,1.1666666666666667,0.112399,64,10,2,20,0.5333333333333333,0.6609133533216488,1.6441736637313125,1
w32_n12_b80_td8,32,12,80,6,8,1,2,1.3333333333333333,0.094259,64,8,2,16,0.6666666666666666,1.1924484664594364,1.3788215675375206,1
w32_n12_b80_td9,32,12,80,6,9,1,3,1.5,0.088515,64,8,2,16,0.6666666666666666,1.0648929559961589,1.2947982797460575,1
w32_n12_b80_td10,32,12,80,6,10,1,4,1.6666666666666667,0.078541,64,7,2,14,0.7619047619047619,1.1269909983320814,1.1488985108686112,1
w32_n12_b80_td11,32,12,80,6,11,1,5,1.8333333333333333,0.072182,64,6,2,12,0.8888888888888888,1.08809675542379,1.055878997103654,1
w32_n12_b80_td12,32,12,80,6,12,2,0,2.0,0.068362,64,6,2,12,0.8888888888888888,1.055878997103654,1.0,1
w32_n12_b80_td13,32,12,80,6,13,2,1,2.1666666666666665,0.08425,64,5,3,15,0.7111111111111111,0.8114183976261128,1.2324098183201193,1
w32_n12_b80_td14,32,12,80,6,14,2,2,2.3333333333333335,0.085248,64,5,3,15,0.7111111111111111,0.9882929804804805,1.2470085720136919,1
w32_n12_b80_td15,32,12,80,6,15,2,3,2.5,0.078694,64,5,3,15,0.7111111111111111,1.083284621445091,1.1511365963546998,1
w32_n12_b80_td16,32,12,80,6,16,2,4,2.6666666666666665,0.069719,64,4,3,12,0.8888888888888888,1.1287310489249702,1.0198502091805388,1
w32_n12_b160_td1,32,12,160,6,1,0,1,0.16666666666666666,0.393288,64,64,1,64,0.16666666666666666,,5.11175232004991,1
w32_n12_b160_td2,32,12,160,6,2,0,2,0.3333333333333333,0.202752,64,32,1,32,0.3333333333333333,1.9397490530303032,2.6352647586368243,1
w32_n12_b160_td3,32,12,160,6,3,0,3,0.5,0.1438,64,22,1,22,0.48484848484848486,1.4099582753824755,1.869037406743092,1
w32_n12_b160_td4,32,12,160,6,4,0,4,0.6666666666666666,0.112364,64,16,1,16,0.6666666666666666,1.279769321134883,1.4604486729574462,1
