word_bits,batch,physical_core,weights,kernel_ms,min_ms,trials,v06_ms,speedup_vs_v06
64,1,appt-online,5-5-10,0.739738,0.739738,1,0.229786,0.31063160199962686
64,1,appt-online,5-6-9,0.741171,0.741171,1,0.229786,0.3100310184829142
64,1,appt-online,5-7-8,0.764109,0.764109,1,0.229786,0.3007241113506057
64,1,appt-online,5-8-7,0.718438,0.718438,1,0.229786,0.31984109971911284
64,1,appt-online,5-9-6,0.709427,0.709427,1,0.229786,0.323903657458766
64,1,appt-online,6-10-4,0.842752,0.842752,1,0.229786,0.2726614709902795
64,1,appt-online,6-4-10,0.72663,0.72663,1,0.229786,0.3162352228782186
64,1,appt-online,6-5-9,0.728064,0.728064,1,0.229786,0.31561236374824186
64,1,appt-online,6-6-8,0.748339,0.748339,1,0.229786,0.3070613719183418
64,1,appt-online,6-7-7,0.764723,0.764723,1,0.229786,0.30048265842664595
64,1,appt-online,6-8-6,0.751411,0.751411,1,0.229786,0.3058060102926361
64,1,appt-online,6-9-5,0.842547,0.842547,1,0.229786,0.2727278122170039
64,1,appt-online,7-10-3,1.034445,1.034445,1,0.229786,0.22213457457863878
64,1,appt-online,7-3-10,0.877773,0.877773,1,0.229786,0.2617829438818464
64,1,appt-online,7-4-9,0.70615,0.70615,1,0.229786,0.3254067832613467
64,1,appt-online,7-5-8,0.71127,0.71127,1,0.229786,0.3230643778030846
64,1,appt-online,7-6-7,0.750182,0.750182,1,0.229786,0.30630700283397894
64,1,appt-online,7-7-6,0.791347,0.791347,1,0.229786,0.29037324966165284
64,1,appt-online,7-8-5,0.85504,0.85504,1,0.229786,0.2687429827844311
64,1,appt-online,7-9-4,0.854221,0.854221,1,0.229786,0.2690006450321404
64,1,appt-online,8-3-9,0.862618,0.862618,1,0.229786,0.26638210656397154
64,1,appt-online,8-4-8,0.701645,0.701645,1,0.229786,0.3274960984543466
64,1,appt-online,8-5-7,0.743834,0.743834,1,0.229786,0.3089210764767408
64,1,appt-online,8-6-6,0.738918,0.738918,1,0.229786,0.3109763194292195
64,1,appt-online,8-7-5,0.782541,0.782541,1,0.229786,0.29364084437748306
64,1,appt-online,8-8-4,0.673382,0.673382,1,0.229786,0.34124167263158206
64,1,appt-online,8-9-3,0.847462,0.847462,1,0.229786,0.2711460808862226
64,1,appt-online,9-3-8,0.861594,0.861594,1,0.229786,0.2666987003159261
64,1,appt-online,9-4-7,0.738304,0.738304,1,0.229786,0.3112349384535368
64,1,appt-online,9-5-6,0.743424,0.743424,1,0.229786,0.30909144714187325
64,1,appt-online,9-6-5,0.826163,0.826163,1,0.229786,0.2781363968127355
64,1,appt-online,9-7-4,0.831283,0.831283,1,0.229786,0.2764233119166397
64,1,appt-online,9-8-3,0.853606,0.853606,1,0.229786,0.2691944527100325
64,1,appt-online-radix4,10-3-7,0.621978,0.621978,1,0.229786,0.3694439353160401
64,1,appt-online-radix4,10-4-6,0.500736,0.500736,1,0.229786,0.4588965043456033
64,1,appt-online-radix4,10-5-5,0.571392,0.571392,1,0.229786,0.40215123767921146
64,1,appt-online-radix4,10-6-4,0.584909,0.584909,1,0.229786,0.39285769239317564
64,1,appt-online-radix4,10-7-3,0.716186,0.716186,1,0.229786,0.32084681912240676
64,1,appt-online-radix4,3-10-7,0.545382,0.545382,1,0.229786,0.4213303702725795
64,1,appt-online-radix4,3-7-10,0.51241,0.51241,1,0.229786,0.44844167756288905
64,1,appt-online-radix4,3-8-9,0.509338,0.509338,1,0.229786,0.45114639001998674
64,1,appt-online-radix4,3-9-8,0.525107,0.525107,1,0.229786,0.4375984323195082
64,1,appt-online-radix4,4-10-6,0.473907,0.473907,1,0.229786,0.48487572456199207
64,1,appt-online-radix4,4-6-10,0.483123,0.483123,1,0.229786,0.47562628978541693
64,1,appt-online-radix4,4-7-9,0.475955,0.475955,1,0.229786,0.4827893393282978
64,1,appt-online-radix4,4-8-8,0.442368,0.442368,1,0.229786,0.5194453486689815
64,1,appt-online-radix4,4-9-7,0.467149,0.467149,1,0.229786,0.49189016780513284
64,1,appt-online-radix4,5-10-5,0.545382,0.545382,1,0.229786,0.4213303702725795
64,1,appt-online-radix4,5-5-10,0.482304,0.482304,1,0.229786,0.47643395037154984
64,1,appt-online-radix4,5-6-9,0.488243,0.488243,1,0.229786,0.470638595945052
