implementation,category,address,file,line,theoretical_sectors,theoretical_ideal,theoretical_excessive,l1_tag_requests,instructions,stall_long_scoreboard,source,sass
v07-d6,stage 2-6 coefficients,0x71b3e3266910,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3860,319488.0,262144.0,57344.0,129024.0,65536.0,0.0,lane_coefficient_shoup =,"LDG.E.SYS R89, [R72+0x70]"
v07-d6,stage 2-6 coefficients,0x71b3e325ec50,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3900,589824.0,131072.0,458752.0,196608.0,65536.0,0.0,coefficient =,"LDG.E.SYS R61, [R50]"
v07-d6,stage 2-6 coefficients,0x71b3e325ee20,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3900,524288.0,131072.0,393216.0,131072.0,65536.0,0.0,coefficient =,"LDG.E.SYS R66, [R48]"
v07-d6,stage 2-6 coefficients,0x71b3e325eff0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3900,524288.0,131072.0,393216.0,131072.0,65536.0,0.0,coefficient =,"LDG.E.SYS R67, [R50+0x8]"
v07-d6,stage 2-6 coefficients,0x71b3e325f1a0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3900,524288.0,131072.0,393216.0,131072.0,65536.0,0.0,coefficient =,"LDG.E.SYS R72, [R48+0x8]"
v07-d6,stage 2-6 coefficients,0x71b3e3261480,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3900,589824.0,131072.0,458752.0,196608.0,65536.0,0.0,coefficient =,"LDG.E.SYS R44, [R50]"
v07-d6,stage 2-6 coefficients,0x71b3e3261650,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3900,524288.0,131072.0,393216.0,131072.0,65536.0,0.0,coefficient =,"LDG.E.SYS R58, [R48]"
v07-d6,stage 2-6 coefficients,0x71b3e3261800,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3900,524288.0,131072.0,393216.0,131072.0,65536.0,0.0,coefficient =,"LDG.E.SYS R58, [R50+0x8]"
v07-d6,stage 2-6 coefficients,0x71b3e3261980,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3900,524288.0,131072.0,393216.0,131072.0,65536.0,0.0,coefficient =,"@!P4 LDG.E.SYS R60, [R48+0x8]"
v07-d6,stage 2-6 coefficients,0x71b3e32634b0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3900,557056.0,131072.0,425984.0,200704.0,65536.0,0.0,coefficient =,"@!P0 LDG.E.SYS R35, [R32]"
