trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,32,0,0,14,16384,256,1,16384,20,100,2.765920,0.252529,2.597056,1013746.410644,116.264548,16609221191.984615,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,32,0,0,14,16384,256,1,16384,20,100,2.795296,0.252477,2.593280,1013951.990247,116.288126,16612589408.208496,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,32,0,0,14,16384,256,1,16384,20,100,2.808224,0.252416,2.595776,1014198.724013,116.316423,16616631894.222164,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,32,0,0,14,16384,256,1,16384,20,100,2.788576,0.244460,2.603136,1047208.186573,120.102213,17157458928.807343,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,32,0,0,14,16384,256,1,16384,20,100,2.776352,0.244398,2.600256,1047471.436767,120.132404,17161772019.986982,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,32,0,0,14,16384,256,1,16384,20,100,2.780736,0.244408,2.590272,1047427.499327,120.127365,17161052148.974588,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,32,0,0,14,16384,256,1,16384,20,100,2.791424,0.238510,2.598336,1073329.933638,123.098063,17585437632.724442,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,32,0,0,14,16384,256,1,16384,20,100,2.783904,0.238449,2.604320,1073606.482483,123.129780,17589968608.998230,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,32,0,0,14,16384,256,1,16384,20,100,2.793152,0.238418,2.595296,1073744.843907,123.145649,17592235522.578407,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,64,0,0,14,16384,256,1,16384,20,100,2.786240,0.266803,2.612288,959508.713500,110.044135,15720590761.986187,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,64,0,0,14,16384,256,1,16384,20,100,2.781056,0.266813,2.650144,959471.952656,110.039919,15719988472.323381,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,64,0,0,14,16384,256,1,16384,20,100,2.773920,0.266742,2.598656,959729.766642,110.069487,15724212496.662483,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,64,0,0,14,16384,256,1,16384,20,100,2.801920,0.250020,2.650656,1023918.707626,117.431189,16775884105.743597,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,64,0,0,14,16384,256,1,16384,20,100,2.786080,0.250040,2.640320,1023834.865502,117.421573,16774510436.380814,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,64,0,0,14,16384,256,1,16384,20,100,2.773568,0.249928,2.686368,1024296.350389,117.474500,16782071404.770300,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,64,0,0,14,16384,256,1,16384,20,100,2.775552,0.241951,3.572640,1058066.698126,121.347553,17335364782.089935,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,64,0,0,14,16384,256,1,16384,20,100,2.772288,0.241910,2.660064,1058245.863678,121.368102,17338300230.497066,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,64,0,0,14,16384,256,1,16384,20,100,2.774176,0.241777,2.703008,1058828.489433,121.434922,17347845970.877682,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,16,0,0,12,4096,1024,1,4096,20,100,5.504800,0.350290,5.128224,2923292.871850,71.842846,11973807603.097523,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,16,0,0,12,4096,1024,1,4096,20,100,5.508096,0.350331,5.100704,2922950.934373,71.834442,11972407027.192327,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,16,0,0,12,4096,1024,1,4096,20,100,5.468384,0.351222,5.102976,2915536.812709,71.652233,11942038784.854061,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,16,0,0,12,4096,1024,1,4096,20,100,5.423648,0.334653,5.105824,3059881.914731,75.199658,12533276322.739140,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,16,0,0,12,4096,1024,1,4096,20,100,5.500512,0.335258,5.101952,3054367.567134,75.064137,12510689554.981478,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,16,0,0,12,4096,1024,1,4096,20,100,5.514368,0.335544,5.105856,3051757.831047,75.000000,12500000075.968388,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,16,0,0,12,4096,1024,1,4096,20,100,5.490432,0.389151,5.103840,2631371.080981,64.668576,10778095947.698114,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,16,0,0,12,4096,1024,1,4096,20,100,5.537376,0.378399,5.109056,2706140.257577,66.506103,11084350495.034321,0.000000,-1
