trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x256,4x8,recurrence,direct-strided,global-scratch,2,256x256,4x8,shared,cufftdx-block,0,named-barrier,32,256,256,4,8,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.937984,0.367862,10.121760,173978.404640,91.214790,11401848726.454447,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x512,4x4,recurrence,direct-strided,global-scratch,2,256x512,4x4,shared,cufftdx-block,0,named-barrier,32,256,512,4,4,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.945472,0.366776,10.113280,174493.272796,91.484729,11435591125.982828,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x512,4x4,recurrence,direct-strided,global-scratch,2,256x512,4x4,shared,cufftdx-block,0,named-barrier,32,256,512,4,4,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.936832,0.366797,10.116128,174483.532773,91.479622,11434952803.801342,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x512,4x4,recurrence,direct-strided,global-scratch,2,256x512,4x4,shared,cufftdx-block,0,named-barrier,32,256,512,4,4,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.967328,0.367104,10.123456,174337.520334,91.403070,11425383732.616894,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x512,4x8,recurrence,direct-strided,global-scratch,2,256x512,4x8,shared,cufftdx-block,0,named-barrier,32,256,512,4,8,4,16,8,1,0,0,16,65536,64,1,65536,100,50,10.941856,0.383365,10.115392,166942.676618,87.526042,10940755254.834047,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x512,4x8,recurrence,direct-strided,global-scratch,2,256x512,4x8,shared,cufftdx-block,0,named-barrier,32,256,512,4,8,4,16,8,1,0,0,16,65536,64,1,65536,100,50,10.953024,0.383529,10.117312,166871.354532,87.488649,10936081090.641247,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x512,4x8,recurrence,direct-strided,global-scratch,2,256x512,4x8,shared,cufftdx-block,0,named-barrier,32,256,512,4,8,4,16,8,1,0,0,16,65536,64,1,65536,100,50,10.964896,0.383427,10.130208,166915.933423,87.512021,10939002612.794680,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,8x4,recurrence,direct-strided,global-scratch,2,256x128,8x4,shared,cufftdx-block,0,named-barrier,32,256,128,8,4,8,2,8,1,0,0,16,65536,64,1,65536,100,50,10.957504,0.419656,10.118528,152505.977996,79.957054,9994631773.932364,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,8x4,recurrence,direct-strided,global-scratch,2,256x128,8x4,shared,cufftdx-block,0,named-barrier,32,256,128,8,4,8,2,8,1,0,0,16,65536,64,1,65536,100,50,10.954240,0.419840,10.117984,152439.021478,79.921950,9990243711.590700,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,8x4,recurrence,direct-strided,global-scratch,2,256x128,8x4,shared,cufftdx-block,0,named-barrier,32,256,128,8,4,8,2,8,1,0,0,16,65536,64,1,65536,100,50,10.966048,0.418836,10.119840,152804.265886,80.113443,10014180369.132948,0.000000,-1
