trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,1,named-barrier,0,0,4,8,256,16384,1,256,20,100,2.836736,0.360980,2.670976,45387495.630586,46.476796,11619198881.430126,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,1,named-barrier,0,0,4,8,256,16384,1,256,20,100,2.811200,0.361001,2.849504,45384917.728726,46.474156,11618538938.553804,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,1,named-barrier,0,0,4,8,256,16384,1,256,20,100,2.813504,0.360960,2.679872,45390070.077729,46.479432,11619857939.898649,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,2,named-barrier,0,0,4,8,256,16384,1,256,20,100,2.827808,0.321925,2.667136,50893820.633280,52.115272,13028818082.119678,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,2,named-barrier,0,0,4,8,256,16384,1,256,20,100,2.818432,0.321864,2.692352,50903537.625395,52.125223,13031305632.101177,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,2,named-barrier,0,0,4,8,256,16384,1,256,20,100,2.713312,0.321843,2.670560,50906780.589975,52.128543,13032135831.033688,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,2,named-barrier,0,0,4,8,256,16384,1,256,20,100,2.783328,0.321894,2.678368,50898678.665573,52.120247,13030061738.386799,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,2,named-barrier,0,0,4,8,256,16384,1,256,20,100,2.851008,0.321823,2.671776,50910014.538765,52.131855,13032963721.923782,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,4,named-barrier,0,0,4,8,256,16384,1,256,20,100,2.794656,0.307436,2.680800,53292477.061260,54.571497,13642874127.682674,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,4,named-barrier,0,0,4,8,256,16384,1,256,20,100,2.780864,0.307456,2.759616,53288928.193650,54.567862,13641965617.574390,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,4,named-barrier,0,0,4,8,256,16384,1,256,20,100,2.789120,0.307395,2.669568,53299576.214728,54.578766,13644691510.970337,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,4,named-barrier,0,0,4,8,256,16384,1,256,20,100,2.788256,0.307415,2.749824,53296026.401588,54.575131,13643782758.806595,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,4,named-barrier,0,0,4,8,256,16384,1,256,20,100,2.826912,0.307374,2.653984,53303126.500774,54.582402,13645600384.198084,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,1,named-barrier,0,0,8,8,256,16384,1,256,20,100,2.804256,0.356588,2.651200,45946643.275956,47.049363,11762340678.644844,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,1,named-barrier,0,0,8,8,256,16384,1,256,20,100,2.777568,0.356372,2.594368,45974369.853643,47.077755,11769438682.532583,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,1,named-barrier,0,0,8,8,256,16384,1,256,20,100,2.784352,0.356680,2.611104,45934772.885176,47.037207,11759301858.605116,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,1,named-barrier,0,0,8,8,256,16384,1,256,20,100,2.774560,0.356731,2.592320,45928180.020856,47.030456,11757614085.339045,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,1,named-barrier,0,0,8,8,256,16384,1,256,20,100,2.809184,0.356823,2.596448,45916315.331962,47.018307,11754576724.982178,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,2,named-barrier,0,0,8,8,256,16384,1,256,20,100,2.785984,0.226304,2.596800,72398191.755003,74.135748,18533937089.280807,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,2,named-barrier,0,0,8,8,256,16384,1,256,20,100,2.797888,0.226365,2.603232,72378542.275106,74.115627,18528906822.427067,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,2,named-barrier,0,0,8,8,256,16384,1,256,20,100,2.785120,0.226386,2.604352,72371991.642720,74.108919,18527229860.536205,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,2,named-barrier,0,0,8,8,256,16384,1,256,20,100,2.777152,0.226345,2.601856,72385084.562660,74.122327,18530581648.040909,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,2,named-barrier,0,0,8,8,256,16384,1,256,20,100,2.762816,0.226335,2.592864,72388363.298704,74.125684,18531421004.468346,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,4,named-barrier,0,0,8,8,256,16384,1,256,20,100,2.763040,0.190525,2.593152,85993764.385991,88.057615,22014403682.813614,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,4,named-barrier,0,0,8,8,256,16384,1,256,20,100,2.760640,0.190546,2.590400,85984524.339424,88.048153,22012038230.892479,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,4,named-barrier,0,0,8,8,256,16384,1,256,20,100,2.762496,0.190505,2.593888,86003013.145768,88.067085,22016771365.316521,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,4,named-barrier,0,0,8,8,256,16384,1,256,20,100,2.765568,0.190536,2.591648,85989144.114483,88.052884,22013220893.307568,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,4,named-barrier,0,0,8,8,256,16384,1,256,20,100,2.767200,0.190577,2.591264,85970661.270107,88.033957,22008489285.147320,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,8,named-barrier,0,0,8,8,256,16384,1,256,20,100,2.778784,0.200960,2.595136,81528658.245712,83.485346,20871336510.902184,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,8,named-barrier,0,0,8,8,256,16384,1,256,20,100,2.765216,0.200960,2.590400,81528658.245712,83.485346,20871336510.902184,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,8,named-barrier,0,0,8,8,256,16384,1,256,20,100,2.768192,0.200960,2.591136,81528658.245712,83.485346,20871336510.902184,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,8,named-barrier,0,0,8,8,256,16384,1,256,20,100,2.768736,0.200960,2.593920,81528658.245712,83.485346,20871336510.902184,0.000000,-1
