device,compute_capability,backend,stage_space,stage_handoff,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,output_order,correct,trial
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.896608,0.169830,2.792800,6029544.354954,174766.738762,24697013677.891777,fused,barrett,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.498560,0.538163,5.148896,7432.689769,357.602013,7793740107.041406,fused,barrett,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.813856,0.157901,2.628320,6485084.497463,182854.639691,26562906101.608421,fused,shoup,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.468416,0.377395,5.115552,2713335.955718,93419.036022,11113824074.622046,fused,barrett,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.853536,0.386458,2.804480,10350.423363,661.761515,10853205528.040775,fused,shoup,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.481472,0.268646,5.129888,3811701.654642,94117.590898,15612729977.412279,fused,shoup,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.523104,0.476160,5.208448,8400.537814,356.897104,8808602338.604111,fused,shoup,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.881696,0.236698,2.821536,4326195.124343,172392.614133,17720095229.310925,fused,barrett,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.485728,0.673075,5.123008,1521375.325265,90765.571391,6231553332.285779,fused,barrett,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.854688,0.324096,2.767968,12342.022336,672.636103,12941548413.494356,fused,barrett,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.917344,0.198093,2.686944,5169294.692511,176479.279708,21173431060.525593,fused,barrett,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.558400,0.377344,5.102368,2713704.332396,92769.487993,11115332945.492432,fused,barrett,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.536064,0.268749,5.104800,3810249.290230,93862.172927,15606781092.783382,fused,shoup,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.490816,0.663091,5.103840,6032.352871,355.310875,6325380444.460424,fused,barrett,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.881376,0.349184,2.747744,11455.279358,669.086072,12011731008.497124,fused,shoup,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.405856,0.662630,5.180896,6036.547321,355.575077,6329778643.381445,fused,barrett,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.496576,0.538266,5.108864,7431.275758,358.947039,7792257409.494255,fused,barrett,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.830816,0.386918,2.609152,10338.097242,686.472955,10840280653.460760,fused,shoup,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.477536,0.516557,5.108352,7743.582128,360.280995,8119734373.405290,fused,shoup,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.507392,0.606720,5.145120,6592.826675,355.264015,6913079823.444040,fused,barrett,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.823904,0.359987,2.614144,11111.506208,689.888864,11651258733.866892,fused,barrett,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.908032,0.236493,2.818080,4329941.587307,171737.026655,17735440741.611225,fused,barrett,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.908672,0.184576,2.791488,5547850.065465,174009.504344,22723993868.146492,fused,shoup,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.497952,0.268646,5.147072,3811701.654642,93827.280586,15612729977.412279,fused,shoup,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.472416,0.276685,5.134464,3700961.973942,94086.822108,15159140245.265779,fused,shoup,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.483424,0.673126,5.134208,1521259.604043,90693.638858,6231079338.158838,fused,barrett,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.469728,0.370790,5.141376,2761667.883921,93244.385675,11311791652.540312,fused,barrett,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.879680,0.157747,4.036608,6491399.136331,144754.719477,26588770862.412933,fused,shoup,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.462304,0.377344,5.142464,2713704.332396,93242.536215,11115332945.492432,fused,barrett,natural,1,3
