trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,6,0,0,14,16384,256,1,16384,50,100,2.769792,0.442327,3.245184,578757.276176,66.376514,9482359212.873871,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,14,16384,256,1,16384,50,100,2.794272,0.465060,2.935232,550466.787984,63.131935,9018847854.328077,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,14,16384,256,1,16384,50,100,2.762816,0.465060,3.426912,550466.787984,63.131935,9018847854.328077,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,14,16384,256,1,16384,50,100,2.790848,0.464978,3.201440,550563.777242,63.143058,9020436926.339134,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,14,16384,256,1,16384,50,100,2.767968,0.465009,3.567136,550527.433138,63.138890,9019841464.537687,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,14,16384,256,1,16384,50,100,2.774880,0.464845,3.129120,550721.417982,63.161138,9023019712.215286,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,8,0,0,14,16384,256,1,16384,50,100,2.762240,0.308869,3.187008,828830.014257,95.056857,13579550953.589025,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,8,0,0,14,16384,256,1,16384,50,100,2.768096,0.308961,3.162752,828582.812804,95.028506,13575500804.988125,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,8,0,0,14,16384,256,1,16384,50,100,2.768480,0.308931,3.082624,828665.143609,95.037948,13576849712.890713,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,8,0,0,14,16384,256,1,16384,50,100,2.767392,0.308941,3.255424,828637.724835,95.034803,13576400483.693510,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,8,0,0,14,16384,256,1,16384,50,100,2.768448,0.309064,3.130336,828308.281912,94.997020,13571002890.839901,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,14,16384,256,1,16384,50,100,2.798400,0.307722,3.814048,831919.069057,95.411134,13630162027.431070,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,14,16384,256,1,16384,50,100,2.766496,0.307640,2.946144,832140.614429,95.436543,13633791826.798737,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,14,16384,256,1,16384,50,100,2.770624,0.307640,3.039808,832140.614429,95.436543,13633791826.798737,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,14,16384,256,1,16384,50,100,2.764032,0.307651,2.890464,832112.884577,95.433363,13633337500.903608,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,14,16384,256,1,16384,50,100,2.778176,0.307681,4.205408,832029.867291,95.423841,13631977345.690992,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,10,0,0,14,16384,256,1,16384,50,100,2.765408,0.227799,3.110112,1123797.595055,128.886099,18412299797.378403,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,10,0,0,14,16384,256,1,16384,50,100,2.766560,0.227758,3.157984,1123999.641469,128.909271,18415610125.825848,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,10,0,0,14,16384,256,1,16384,50,100,2.773792,0.227717,3.196896,1124201.834112,128.932460,18418922850.090340,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,10,0,0,14,16384,256,1,16384,50,100,2.768544,0.227820,3.209120,1123696.525586,128.874507,18410643875.205944,0.000000,-1
