case_id,group,trial,implementation,reference,runner,device,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,backend,kernel_ms,throughput_s,correct
fwht8_baseline_b65536,fwht8-batch65536,3,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.165386,396260298.037067,1
fft14_searched_b256,fft14-batch256,2,cuButterfly-searched-cuFFTDx-direct,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,temporal-tile,0.122706,2086289.009940,1
fft14_base_b256,fft14-batch256,4,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,hierarchical,0.722299,354423.928905,1
fwht15_searched_b256,fwht15-batch256,5,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,temporal-tile,0.133089,1923520.896784,1
ntt16_searched_b4,ntt16-batch4,4,cuNTT-searched-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,hybrid2d,0.029399,136058.868099,1
fwht8_base_b65536,fwht8-batch65536,2,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,temporal-tile,0.188088,348432041.584504,1
fwht15_base_b512,fwht15-batch512,4,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,hierarchical,1.387192,369090.842499,1
fft20_baseline_b4,fft20-batch4,5,cuFFT,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,cufft,0.214200,18674.108610,1
fwht8_searched_b65536,fwht8-batch65536,1,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,temporal-tile,0.165151,396825404.272117,1
ntt16_base_b64,ntt16-batch64,1,cuNTT-base-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,hybrid2d,0.299162,213931.190439,1
ntt16_searched_b64,ntt16-batch64,1,cuNTT-searched-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,hybrid2d,0.276736,231267.352372,1
fft14_searched_b256,fft14-batch256,3,cuButterfly-searched-cuFFTDx-direct,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,temporal-tile,0.122839,2084027.991451,1
fft14_searched_b256,fft14-batch256,5,cuButterfly-searched-cuFFTDx-direct,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,temporal-tile,0.122409,2091350.111778,1
fwht15_baseline_b512,fwht15-batch512,3,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.210534,2431906.603929,1
fft20_base_b4,fft20-batch4,4,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,online-reorder,0.767406,5212.364052,1
fft18_base_b16,fft18-batch16,1,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,online-reorder,0.512092,31244.375213,1
fft8_baseline_b16384,fft8-batch16384,2,cuFFT,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,cufft,0.083763,195599028.859936,1
fwht15_searched_b512,fwht15-batch512,4,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,temporal-tile,0.242678,2109793.635190,1
fft18_searched_b16,fft18-batch16,1,cuButterfly-searched-auto,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,online-reorder,0.196250,81528.826839,1
fwht15_searched_b512,fwht15-batch512,3,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,temporal-tile,0.242555,2110862.557350,1
ntt16_searched_b256,ntt16-batch256,1,cuNTT-searched-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,hybrid2d,1.061202,241235.897478,1
fft18_base_b16,fft18-batch16,2,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,online-reorder,0.510167,31362.275582,1
fwht15_base_b512,fwht15-batch512,3,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,hierarchical,1.387131,369107.209746,1
ntt16_searched_b4,ntt16-batch4,1,cuNTT-searched-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,hybrid2d,0.029409,136011.490034,1
fft8_searched_b16384,fft8-batch16384,5,cuButterfly-searched-cuFFTDx,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,temporal-tile,0.084193,194599867.042706,1
ntt16_searched_b256,ntt16-batch256,5,cuNTT-searched-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,hybrid2d,1.058847,241772.484224,1
fwht8_base_b65536,fwht8-batch65536,4,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,temporal-tile,0.189399,346020772.600354,1
fft14_searched_b256,fft14-batch256,4,cuButterfly-searched-cuFFTDx-direct,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,temporal-tile,0.122470,2090300.982394,1
fft20_baseline_b4,fft20-batch4,4,cuFFT,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,cufft,0.214036,18688.403059,1
ntt16_base_b64,ntt16-batch64,5,cuNTT-base-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,hybrid2d,0.298854,214151.097389,1
fwht15_searched_b512,fwht15-batch512,2,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,temporal-tile,0.243661,2101281.844768,1
ntt16_searched_b64,ntt16-batch64,4,cuNTT-searched-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,hybrid2d,0.274831,232870.081687,1
fft18_searched_b16,fft18-batch16,3,cuButterfly-searched-auto,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,online-reorder,0.196598,81384.443026,1
