rank,operator,precision,direction,normalization,placement,stage_matrices,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
15,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.574833,0.574587,0.582021,72.965650,1.542116
16,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.578478,0.578355,0.578703,72.505839,1.551895
17,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.581284,0.581263,0.581366,72.155872,1.559422
18,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.582717,0.582697,0.582799,71.978353,1.563267
19,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.708690,0.708669,0.708792,59.183909,1.901217
20,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.708751,0.708751,0.709059,59.178777,1.901381
21,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.709140,0.709038,0.709243,59.146306,1.902424
22,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.726036,0.725975,0.726057,57.769884,1.947751
23,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.731136,0.730952,0.731279,57.366945,1.961433
24,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.752497,0.752456,0.752845,55.738507,2.018739
1,fwht,fp32,forward,none,out-of-place,,8,256,16384,1,256,temporal-tile,radix2,four-mul,table,warp-register,linear,scalar,0,32,0,0,8,8,0,0,0,0,0,0,named-barrier,3,0.043500,0.043500,0.043540,385.687365,1.000000
2,fwht,fp32,forward,none,out-of-place,,8,256,16384,1,256,warp-hybrid,radix2,four-mul,table,shared,linear,scalar,0,0,0,0,8,8,0,0,0,0,5,0,named-barrier,3,0.049275,0.049254,0.049275,340.482151,1.132759
3,fwht,fp32,forward,none,out-of-place,,8,256,16384,1,256,warp-hybrid,radix2,four-mul,table,shared,linear,scalar,0,0,0,0,8,8,0,0,0,0,4,0,named-barrier,3,0.050545,0.050545,0.050545,331.928699,1.161954
4,fwht,fp32,forward,none,out-of-place,,8,256,16384,1,256,temporal-tile,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,0,0,0,0,named-barrier,3,0.051200,0.051180,0.051220,327.680008,1.177011
5,fwht,fp32,forward,none,out-of-place,,8,256,16384,1,256,temporal-tile,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,0,0,0,0,named-barrier,3,0.052060,0.052040,0.052122,322.265927,1.196782
