case_id,group,trial,implementation,reference,runner,device,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,backend,kernel_ms,throughput_s,correct
fft18_searched_b16,fft18-batch16,4,cuButterfly-searched-auto,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,online-reorder,0.196884,81265.926843,1
ntt16_base_b4,ntt16-batch4,5,cuNTT-base-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,hybrid2d,0.031529,126867.485769,1
ntt16_base_b256,ntt16-batch256,2,cuNTT-base-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,hybrid2d,1.163162,220089.789939,1
ntt16_base_b256,ntt16-batch256,5,cuNTT-base-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,hybrid2d,1.168630,219059.968824,1
fwht15_baseline_b256,fwht15-batch256,5,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.117944,2170515.772245,1
fwht8_baseline_b65536,fwht8-batch65536,1,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.165315,396432111.153211,1
ntt16_searched_b64,ntt16-batch64,3,cuNTT-searched-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,hybrid2d,0.273592,233924.692342,1
fft18_baseline_b16,fft18-batch16,1,cuFFT,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,cufft,0.213422,74968.809526,1
fft14_base_b256,fft14-batch256,5,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,hierarchical,0.722145,354499.286044,1
fft8_baseline_b16384,fft8-batch16384,1,cuFFT,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,cufft,0.083712,195718662.209182,1
fft18_baseline_b16,fft18-batch16,2,cuFFT,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,cufft,0.213156,75062.453415,1
fft18_baseline_b16,fft18-batch16,3,cuFFT,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,cufft,0.213074,75091.309560,1
fft8_searched_b16384,fft8-batch16384,4,cuButterfly-searched-cuFFTDx,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,temporal-tile,0.084316,194316257.060635,1
fft14_baseline_b256,fft14-batch256,1,cuFFT,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,cufft,0.124426,2057443.860905,1
fft20_searched_b4,fft20-batch4,1,cuButterfly-searched-auto,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,online-reorder,0.216822,18448.332866,1
fft18_searched_b16,fft18-batch16,5,cuButterfly-searched-auto,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,online-reorder,0.196731,81329.376675,1
fft14_baseline_b256,fft14-batch256,5,cuFFT,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,cufft,0.124170,2061685.695783,1
ntt16_searched_b256,ntt16-batch256,4,cuNTT-searched-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,hybrid2d,1.054044,242874.054678,1
fft8_baseline_b16384,fft8-batch16384,5,cuFFT,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,cufft,0.083794,195527322.502769,1
fwht15_searched_b256,fwht15-batch256,3,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,temporal-tile,0.115866,2209456.414797,1
fft18_base_b16,fft18-batch16,3,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,online-reorder,0.513772,31142.246976,1
ntt16_searched_b64,ntt16-batch64,2,cuNTT-searched-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,hybrid2d,0.275651,232178.014807,1
fft8_searched_b16384,fft8-batch16384,1,cuButterfly-searched-cuFFTDx,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,temporal-tile,0.084306,194339869.666580,1
fft14_base_b256,fft14-batch256,1,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,hierarchical,0.722801,354177.866593,1
fwht15_searched_b256,fwht15-batch256,4,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,temporal-tile,0.108636,2356489.703961,1
ntt16_searched_b64,ntt16-batch64,5,cuNTT-searched-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,hybrid2d,0.273592,233924.692342,1
fwht8_baseline_b65536,fwht8-batch65536,5,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.165468,396064115.937472,1
