rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
60,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,512,128,8,4,32,4,7,1,0,0,named-barrier,1,0.074342,0.074342,0.074342,49.366391,1.380744
61,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,512,512,4,8,16,32,7,1,0,0,named-barrier,1,0.075203,0.075203,0.075203,48.801742,1.396735
62,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,128,512,8,8,8,32,7,1,0,0,named-barrier,1,0.075264,0.075264,0.075264,48.761905,1.397868
63,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,512,128,8,8,32,8,7,1,0,0,named-barrier,1,0.075694,0.075694,0.075694,48.484851,1.405854
64,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,512,512,4,4,16,16,7,1,0,0,named-barrier,1,0.075735,0.075735,0.075735,48.458626,1.406616
65,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,256,512,4,8,8,32,7,1,0,0,named-barrier,1,0.077046,0.077046,0.077046,47.634236,1.430965
66,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,512,256,8,4,32,8,7,1,0,0,named-barrier,1,0.077148,0.077148,0.077148,47.571010,1.432859
67,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,256,512,8,8,16,32,7,1,0,0,named-barrier,1,0.077906,0.077906,0.077906,47.108305,1.446937
68,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,512,256,8,8,32,16,7,1,0,0,named-barrier,1,0.078275,0.078275,0.078275,46.886445,1.453791
69,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,512,512,8,8,32,32,7,1,0,0,named-barrier,1,0.081285,0.081285,0.081285,45.149908,1.509695
70,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,512,512,8,4,32,16,7,1,0,0,named-barrier,1,0.082043,0.082043,0.082043,44.732905,1.523773
