rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
129,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,gauss3,table,shared,scalar,0,64,0,0,8,8,0,0,8,4,0,0,named-barrier,3,0.791501,0.791091,0.794266,42.393427,2.299765
130,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,scalar,0,32,0,0,8,8,0,0,8,2,0,0,named-barrier,3,0.797747,0.797338,0.798157,42.061485,2.317913
131,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,gauss3,table,shared,scalar,0,32,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.798925,0.798874,0.802253,41.999487,2.321336
132,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,scalar,0,32,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.799642,0.797389,0.801894,41.961838,2.323420
133,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,gauss3,table,shared,scalar,0,32,0,0,8,8,0,0,8,2,0,0,named-barrier,3,0.800614,0.800563,0.801792,41.910855,2.326244
134,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,scalar,0,64,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.804096,0.804096,0.804301,41.729383,2.336361
135,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,gauss3,table,shared,scalar,0,64,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.805120,0.804762,0.805478,41.676312,2.339336
136,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,scalar,0,256,0,0,8,8,0,0,8,4,0,0,named-barrier,3,0.807731,0.806605,0.808294,41.541579,2.346923
137,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,gauss3,table,shared,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.809984,0.809626,0.810035,41.426042,2.353469
138,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,scalar,0,64,0,0,8,8,0,0,8,4,0,0,named-barrier,3,0.811110,0.810547,0.811162,41.368515,2.356741
139,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.811520,0.811264,0.811622,41.347635,2.357932
140,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,gauss3,table,shared,scalar,0,256,0,0,8,8,0,0,8,4,0,0,named-barrier,3,0.811674,0.811366,0.813466,41.339807,2.358379
141,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,gauss3,table,shared,scalar,0,32,0,0,8,8,0,0,8,2,0,0,named-barrier,3,0.813926,0.813926,0.816179,41.225389,2.364923
142,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,gauss3,table,shared,scalar,0,64,0,0,8,8,0,0,8,4,0,0,named-barrier,3,0.815053,0.814797,0.815309,41.168415,2.368197
143,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,scalar,0,32,0,0,8,8,0,0,8,2,0,0,named-barrier,3,0.815974,0.812851,0.816128,41.121917,2.370873
144,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,scalar,0,32,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.816384,0.815923,0.816947,41.101285,2.372065
145,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,gauss3,table,shared,scalar,0,32,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.822528,0.822477,0.822886,40.794273,2.389916
146,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,scalar,0,32,0,0,8,8,0,0,8,4,0,0,named-barrier,3,0.822528,0.822067,0.823603,40.794273,2.389916
147,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,gauss3,table,shared,scalar,0,32,0,0,8,8,0,0,8,4,0,0,named-barrier,3,0.828467,0.827802,0.829901,40.501824,2.407173
148,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,scalar,0,256,0,0,8,8,0,0,8,2,0,0,named-barrier,3,0.831181,0.830925,0.831590,40.369597,2.415058
149,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.832614,0.832358,0.832666,40.300085,2.419222
150,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,gauss3,table,shared,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.834048,0.833946,0.834304,40.230818,2.423389
151,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,gauss3,table,shared,scalar,0,256,0,0,8,8,0,0,8,2,0,0,named-barrier,3,0.836557,0.835994,0.836710,40.110166,2.430679
152,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,scalar,0,32,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.845261,0.844954,0.845619,39.697135,2.455969
153,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,scalar,0,32,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.846029,0.845414,0.846182,39.661099,2.458200
154,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,gauss3,table,shared,scalar,0,32,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.847718,0.847360,0.847770,39.582049,2.463108
155,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,gauss3,table,shared,scalar,0,32,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.854016,0.853862,0.854016,39.290168,2.481407
156,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,scalar,0,32,0,0,8,8,0,0,10,2,0,0,named-barrier,3,0.873677,0.873626,0.874803,38.406002,2.538534
157,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,gauss3,table,shared,scalar,0,32,0,0,8,8,0,0,10,2,0,0,named-barrier,3,0.880794,0.880435,0.881920,38.095682,2.559213
158,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,gauss3,table,shared,scalar,0,32,0,0,8,8,0,0,8,4,0,0,named-barrier,3,0.892723,0.892570,0.893338,37.586602,2.593873
159,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.898458,0.898253,0.898816,37.346704,2.610537
160,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,scalar,0,32,0,0,8,8,0,0,10,4,0,0,named-barrier,3,0.901120,0.899840,0.901376,37.236363,2.618271
161,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,gauss3,table,shared,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.902144,0.902144,0.902349,37.194099,2.621247
162,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,scalar,0,32,0,0,8,8,0,0,8,4,0,0,named-barrier,3,0.903885,0.887808,0.906803,37.122466,2.626305
163,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,scalar,0,32,0,0,8,8,0,0,8,4,0,0,named-barrier,3,0.904346,0.904090,0.904755,37.103548,2.627645
164,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,gauss3,table,shared,scalar,0,32,0,0,8,8,0,0,10,4,0,0,named-barrier,3,0.909210,0.909005,0.909261,36.905057,2.641778
165,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,gauss3,table,shared,scalar,0,32,0,0,8,8,0,0,8,4,0,0,named-barrier,3,0.911821,0.911104,0.911872,36.799372,2.649364
