holdout_dimension,holdout_value,operator,precision,accumulation,logN,batch,measured_winner,predicted_winner,top1_correct,topk_contains_winner,regret
numeric-contract,fp16:native,fwht,fp16,native,8,1279,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:native,fwht,fp16,native,15,8,hier-r4-t256,online-r2-t256,0,1,1.223398729372278
numeric-contract,fp16:native,fft,fp16,native,8,801,temporal-r4-t128,temporal-r2-t128,0,1,1.0559300419019857
numeric-contract,fp16:native,structured-2x2,fp16,native,8,1279,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:native,fft,fp16,native,20,1,hier-r4-t256,online-r4-t256,0,1,1.124025300623016
numeric-contract,fp16:native,fft,fp16,native,15,9,hier-r4-t256,online-r2-t256,0,1,1.5069020866773677
numeric-contract,fp16:native,structured-2x2,fp16,native,8,1280,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:native,fwht,fp16,native,8,1,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:native,fwht,fp16,native,15,1,online-r4-t256,online-r2-t256,0,1,1.0612733365246527
numeric-contract,fp16:native,fft,fp16,native,8,1280,temporal-r4-t128,temporal-r2-t128,0,1,1.0811718034787916
numeric-contract,fp16:native,fwht,fp16,native,15,9,hier-r4-t256,online-r2-t256,0,1,1.2506060256262266
numeric-contract,fp16:native,fft,fp16,native,15,4,online-r4-t256,online-r2-t256,0,1,1.0825900730662634
numeric-contract,fp16:native,structured-2x2,fp16,native,8,959,temporal-r4-t128,temporal-r2-t128,0,1,1.2212618841832323
numeric-contract,fp16:native,structured-2x2,fp16,native,15,1,online-r4-t256,online-r2-t256,0,1,1.0827657855246449
numeric-contract,fp16:native,fft,fp16,native,15,7,online-r4-t256,online-r2-t256,0,1,1.0880029091870806
numeric-contract,fp16:native,structured-2x2,fp16,native,20,2,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,fp16:native,fft,fp16,native,8,800,temporal-r4-t128,temporal-r2-t128,0,1,1.1502514668901926
numeric-contract,fp16:native,fwht,fp16,native,8,1280,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:native,fwht,fp16,native,15,7,online-r4-t256,online-r4-t256,1,1,1.0
numeric-contract,fp16:native,structured-2x2,fp16,native,15,6,hier-r4-t256,online-r2-t256,0,1,1.1257844839097342
numeric-contract,fp16:native,fft,fp16,native,20,2,online-r4-t256,online-r4-t256,1,1,1.0
numeric-contract,fp16:native,structured-2x2,fp16,native,15,8,hier-r4-t256,online-r2-t256,0,1,1.144429374152296
numeric-contract,fp16:native,fwht,fp16,native,8,960,temporal-r4-t128,temporal-r2-t128,0,1,1.0563961485557083
numeric-contract,fp16:native,structured-2x2,fp16,native,15,7,hier-r4-t256,online-r2-t256,0,1,1.1504330842391304
numeric-contract,fp16:native,fwht,fp16,native,8,961,temporal-r4-t128,temporal-r2-t128,0,1,1.28377065111759
numeric-contract,fp16:native,fwht,fp16,native,8,1281,temporal-r2-t128,temporal-r4-t128,0,1,1.0040532715691952
numeric-contract,fp16:native,structured-2x2,fp16,native,8,961,temporal-r4-t128,temporal-r2-t128,0,1,1.2400173611111112
numeric-contract,fp16:native,fft,fp16,native,8,1,temporal-r4-t128,temporal-r2-t128,0,1,1.2535117056856186
numeric-contract,fp16:native,structured-2x2,fp16,native,8,1,temporal-r4-t128,temporal-r2-t128,0,1,1.1472172351885097
numeric-contract,fp16:native,fwht,fp16,native,8,959,temporal-r4-t128,temporal-r2-t128,0,1,1.051334702258727
numeric-contract,fp16:native,structured-2x2,fp16,native,8,960,temporal-r4-t128,temporal-r2-t128,0,1,1.2977430555555556
numeric-contract,fp16:native,fwht,fp16,native,20,1,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,fp32:native,fft,fp32,native,15,1,online-r4-t256,online-r4-t256,1,1,1.0
numeric-contract,fp32:native,fft,fp32,native,15,9,online-r4-t256,hier-r4-t256,0,1,1.1550069242156535
numeric-contract,fp32:native,fwht,fp32,native,8,1,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp32:native,fft,fp32,native,15,4,online-r2-t256,hier-r4-t256,0,1,1.1879572312886888
numeric-contract,fp32:native,structured-2x2,fp32,native,15,7,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,fp32:native,fwht,fp32,native,8,961,temporal-r4-t128,temporal-r2-t128,0,1,1.264163979732842
numeric-contract,fp32:native,fwht,fp32,native,20,2,online-r2-t256,hier-r4-t256,0,1,1.5064891305610744
numeric-contract,fp32:native,fwht,fp32,native,8,1279,temporal-r2-t128,temporal-r2-t128,1,1,1.0
numeric-contract,fp32:native,fft,fp32,native,15,5,online-r4-t256,hier-r4-t256,0,1,1.1421601681805562
numeric-contract,fp32:native,fft,fp32,native,8,1280,temporal-r4-t128,temporal-r2-t128,0,1,1.144072246140922
numeric-contract,fp32:native,structured-2x2,fp32,native,8,959,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp32:native,fft,fp32,native,8,1279,temporal-r4-t128,temporal-r2-t128,0,1,1.1489361702127658
numeric-contract,fp32:native,structured-2x2,fp32,native,8,960,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp32:native,fwht,fp32,native,8,1281,temporal-r4-t128,temporal-r2-t128,0,1,1.0867882808181315
numeric-contract,fp32:native,structured-2x2,fp32,native,15,6,online-r2-t256,hier-r4-t256,0,1,1.1824693191247762
numeric-contract,fp32:native,fft,fp32,native,20,2,online-r4-t256,online-r4-t256,1,1,1.0
numeric-contract,fp32:native,fwht,fp32,native,15,6,online-r2-t256,online-r4-t256,0,1,1.0703860745369336
numeric-contract,fp32:native,fft,fp32,native,15,6,online-r4-t256,hier-r4-t256,0,1,1.1652471823770492
numeric-contract,fp32:native,structured-2x2,fp32,native,15,9,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,fp32:native,fft,fp32,native,8,800,temporal-r4-t128,temporal-r2-t128,0,1,1.116933181039406
numeric-contract,fp32:native,structured-2x2,fp32,native,8,1279,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp32:native,fwht,fp32,native,15,1,online-r4-t256,online-r4-t256,1,1,1.0
numeric-contract,fp32:native,fft,fp32,native,15,8,online-r4-t256,hier-r4-t256,0,1,1.1548974338561155
numeric-contract,fp32:native,fwht,fp32,native,8,959,temporal-r4-t128,temporal-r2-t128,0,1,1.135623869801085
numeric-contract,fp32:native,structured-2x2,fp32,native,8,1280,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp32:native,fft,fp32,native,8,799,temporal-r2-t128,temporal-r2-t128,1,1,1.0
numeric-contract,fp32:native,structured-2x2,fp32,native,8,1,temporal-r2-t128,temporal-r4-t128,0,1,1.0253399258343634
numeric-contract,fp32:native,fft,fp32,native,20,1,online-r4-t256,online-r4-t256,1,1,1.0
