candidate_id,group,trial,implementation,reference,static_score,mapping_id,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,execution_group_stages,group_threads,group_ept,processing_unit,prefix_log_n,suffix_log_n,prefix_threads,suffix_threads,prefix_ept,suffix_ept,cross_twiddle,direct_boundary,device,compute_capability,operator,precision,direction,normalization,placement,backend,fft_core,logN,N,batch,warmup,repeat,kernel_ms,points_s,max_error,correct
fft18-fp32_b64_d3_3x5x10_t128x128x128_e8x16x16_tt_fg_gt128x128_ge16x16,fft18-fp32-batch64,1,fft18-fp32_b64_d3_3x5x10_t128x128x128_e8x16x16_tt_fg_gt128x128_ge16x16,0,2435248.3666555374,fft18-fp32,3,3x5x10,128x128x128,8x16x16,tablextable,direct-stridedxdirect-strided,fusedxglobal-scratch,2,8x10,128x128,16x16,cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared,3,10,128,128,8,16,table,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,64,100,50,0.939541,17856830975.788807,0.000610,1
fft20-fp32_b2_p9s11_t128x256_e16x8_rec,fft20-fp32-batch2,3,fft20-fp32_b2_p9s11_t128x256_e16x8_rec,0,445771.4026778952,fft20-fp32,2,9x11,128x256,16x8,recurrence,direct-strided,global-scratch,2,,,,cufftdx-online-shared+cufftdx-large-online,9,11,128,256,16,8,recurrence,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,2,100,50,0.157716,13296974176.286972,0.001638,1
fft18-fp32_b2_d3_6x3x9_t512x512x512_e16x8x16_tt_gf_gt512x256_ge16x16,fft18-fp32-batch2,1,fft18-fp32_b2_d3_6x3x9_t512x512x512_e16x8x16_tt_gf_gt512x256_ge16x16,0,83474.31145798555,fft18-fp32,3,6x3x9,512x512x512,16x8x16,tablextable,direct-stridedxdirect-strided,global-scratchxfused,2,6x12,512x256,16x16,cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared,6,9,512,512,16,16,table,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,100,50,0.057283,9152663041.000748,0.000497,1
fft18-fp32_b16_p9s9_t256x256_e8x8_rec,fft18-fp32-batch16,3,fft18-fp32_b16_p9s9_t256x256_e8x8_rec,0,1193271.6996612132,fft18-fp32,2,9x9,256x256,8x8,recurrence,direct-strided,global-scratch,2,,,,cufftdx-online-shared+cufftdx-online-shared,9,9,256,256,8,8,recurrence,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,16,100,50,0.195830,21418114556.744560,0.000629,1
fft18-fp32_b2_d3_12x3x3_t256x512x512_e16x8x8_tt_gf_gt256x512_ge16x16,fft18-fp32-batch2,3,fft18-fp32_b2_d3_12x3x3_t256x512x512_e16x8x8_tt_gf_gt256x512_ge16x16,0,93304.71145798556,fft18-fp32,3,12x3x3,256x512x512,16x8x8,tablextable,direct-stridedxdirect-strided,global-scratchxfused,2,12x6,256x512,16x16,cufftdx-large-online+cufftdx-online-shared+cufftdx-online-shared,12,3,256,512,16,8,table,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,100,50,0.061911,8468408994.708865,0.000503,1
fft20-fp32_b16_d3_3x5x12_t256x256x1024_e8x16x4_tt_fg_gt256x1024_ge16x4,fft20-fp32-batch16,3,fft20-fp32_b16_d3_3x5x12_t256x256x1024_e8x16x4_tt_fg_gt256x1024_ge16x4,0,6428806.61113708,fft20-fp32,3,3x5x12,256x256x1024,8x16x4,tablextable,direct-stridedxdirect-strided,fusedxglobal-scratch,2,8x12,256x1024,16x4,cufftdx-online-shared+cufftdx-online-shared+cufftdx-large-online,3,12,256,1024,8,4,table,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,16,100,50,1.450025,11570293653.878117,0.001221,1
fft18-fp32_b2_d3_3x5x10_t256x256x256_e8x16x16_tt_fg_gt256x256_ge16x16,fft18-fp32-batch2,2,fft18-fp32_b2_d3_3x5x10_t256x256x256_e8x16x16_tt_fg_gt256x256_ge16x16,0,93304.71145798556,fft18-fp32,3,3x5x10,256x256x256,8x16x16,tablextable,direct-stridedxdirect-strided,fusedxglobal-scratch,2,8x10,256x256,16x16,cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared,3,10,256,256,8,16,table,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,100,50,0.039444,13291796438.589510,0.000501,1
fft18-fp32_b2_d3_3x11x4_t256x1024x256_e8x2x16_tt_gg,fft18-fp32-batch2,1,fft18-fp32_b2_d3_3x11x4_t256x1024x256_e8x2x16_tt_gg,0,577809.0666666667,fft18-fp32,3,3x11x4,256x1024x256,8x2x16,tablextable,direct-stridedxdirect-strided,global-scratchxglobal-scratch,3,,,,cufftdx-online-shared+cufftdx-large-online+cufftdx-online-shared,3,4,256,256,8,16,table,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,100,50,0.103895,5046323391.819761,0.000348,1
fft18-fp32_b64_p6s12_t128x256_e16x16_rec_tx,fft18-fp32-batch64,1,fft18-fp32_b64_p6s12_t128x256_e16x16_rec_tx,0,2386543.3993224264,fft18-fp32,2,6x12,128x256,16x16,recurrence,tiled-transpose,global-scratch,2,,,,cufftdx-online-shared+cufftdx-large-online,6,12,128,256,16,16,recurrence,tiled-transpose,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,64,100,50,1.069404,15688377858.696404,0.000637,1
fft20-fp32_b16_d3_5x12x3_t128x512x128_e16x8x8_tt_gg,fft20-fp32-batch16,3,fft20-fp32_b16_d3_5x12x3_t128x512x128_e16x8x8_tt_gg,0,5878304.21113708,fft20-fp32,3,5x12x3,128x512x128,16x8x8,tablextable,direct-stridedxdirect-strided,global-scratchxglobal-scratch,3,,,,cufftdx-online-shared+cufftdx-large-online+cufftdx-online-shared,5,3,128,128,16,8,table,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,16,100,50,3.417784,4908798735.985415,0.001466,1
