suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct,output_order,word_bits,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,mod_multiply,library,library_version,plan_ms,max_abs_error,relative_l2_error
fft20_cufft_b4,fft20-batch4,quick,fft-library,cuFFT,1,3,4,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,20,1048576,4,1,1048576,1000,100,,0.210053116,,19042.802480572,199.678256539,19967825653.868293762,,-1,,,,,,,,,,,,,cufft,10900,2.257240000,0.000000000,0.000000000
fwht15_warp_b16,fwht15-batch16,quick,butterfly,cuButterfly-warp-register,0,3,16,1,0.000000,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix2,four-mul,table,warp-register,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,16,1,32768,1000,100,0.438240,0.017592,0.401632,909487.765179,223.515713,29802095089.380459,0.000000,-1,,,,,,,,,,,,,,,,,
fft14_cub_b16,fft14-batch16,quick,butterfly,cuButterfly-cuFFTDx-direct,0,2,16,1,0.000095,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,1024,0,0,8,8,0,0,0,0,0,0,14,16384,16,1,16384,1000,100,0.505600,0.020736,0.407776,771604.884988,88.493821,12641974435.639757,0.000000,-1,,,,,,,,,,,,,,,,,
fft20_cub_b4,fft20-batch4,quick,butterfly,cuButterfly-cuFFTDx-online,0,2,4,1,0.001242,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,128,512,512,8,8,4,4,10,1,0,0,20,1048576,4,1,1048576,1000,100,5.471392,0.235366,5.110272,16994.778911,178.203173,17820317291.299896,0.000000,-1,,,,,,,,,,,,,,,,,
ntt12_r2_b1,ntt12-batch1,quick,ntt,cuNTT-Hybrid2D-radix2,1,1,1,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint32,forward,,,hybrid2d,radix2,,fused,,,0,named-barrier,,,,,,,,,,,,12,4096,1,1,4096,1000,100,0.011264,0.006932,0.020448,,,,,-1,natural,32,1073692673,30,6,4,256,0,144248.527159,25876.917550,590841967.244353,shoup,,,,,
fft8_vkfft_b1,fft8-batch1,quick,fft-library,VkFFT,0,1,1,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,8,256,1,1,256,1000,100,,0.002314240,,432107.305888526,0.442477881,110619470.307462543,,-1,,,,,,,,,,,,,vkfft,10304,150.958803000,0.000000000,0.000000000
fft14_vkfft_b16,fft14-batch16,quick,fft-library,VkFFT,0,2,16,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,14,16384,16,1,16384,1000,100,,0.010680321,,1498082.360102851,171.812069715,24544581387.925106049,,-1,,,,,,,,,,,,,vkfft,10304,361.876673000,0.000000000,0.000000000
fft8_cufft_b16384,fft8-batch16384,quick,fft-library,cuFFT,1,3,16384,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,8,256,16384,1,256,1000,100,,0.083773442,,195575109.301850498,200.268911925,50067227981.273727417,,-1,,,,,,,,,,,,,cufft,10900,1.809236000,0.000000000,0.000000000
fft14_vkfft_b256,fft14-batch256,quick,fft-library,VkFFT,0,3,256,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,14,16384,256,1,16384,1000,100,,0.171735033,,1490668.473067502,170.961785839,24423112262.737960815,,-1,,,,,,,,,,,,,vkfft,10304,366.714052000,0.000000000,0.000000000
fft18_vkfft_b4,fft18-batch4,quick,fft-library,VkFFT,0,3,4,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,18,262144,4,1,262144,1000,100,,0.063825920,,62670.463441027,147.858173715,16428685968.284624100,,-1,,,,,,,,,,,,,vkfft,10304,330.701072000,0.000000000,0.000000000
ntt16_r2_b16,ntt16-batch16,quick,ntt,cuNTT-Hybrid2D-radix2,0,1,16,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint64,forward,,,hybrid2d,radix2,,fused,,,0,named-barrier,,,,,,,,,,,,16,65536,16,1,65536,1000,100,1.421120,0.087378,1.352480,,,,,-1,natural,64,1152921504606584833,60,8,4,256,0,183112.620022,5592.493153,12000468665.745426,shoup,,,,,
xor20_online_b4,xor20-batch4,quick,butterfly,cuButterfly-online-radix4,0,3,4,1,0.000000,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,1000,100,2.785664,0.319457,2.598304,12521.235524,131.294671,13129467060.936590,0.000000,-1,,,,,,,,,,,,,,,,,
fwht20_hier_b4,fwht20-batch4,quick,butterfly,cuButterfly-hierarchical-radix4,0,2,4,1,0.000000,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,10,0,0,0,20,1048576,4,1,1048576,1000,100,2.776096,0.488223,2.606592,8192.982118,85.909644,8590964417.080271,0.000000,-1,,,,,,,,,,,,,,,,,
