trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x256,4x4,table,direct-strided,global-scratch,2,256x256,4x4,shared,cufftdx-block,0,named-barrier,32,256,256,4,4,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.916160,0.405053,10.122144,158003.843919,82.839519,10354939915.064138,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x256,4x8,table,direct-strided,global-scratch,2,256x256,4x8,shared,cufftdx-block,0,named-barrier,32,256,256,4,8,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.934176,0.446198,10.225216,143434.152202,75.200805,9400100598.722956,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x256,4x8,table,direct-strided,global-scratch,2,256x256,4x8,shared,cufftdx-block,0,named-barrier,32,256,256,4,8,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.939520,0.389530,10.125664,164300.729470,86.140901,10767612606.558384,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x256,4x8,table,direct-strided,global-scratch,2,256x256,4x8,shared,cufftdx-block,0,named-barrier,32,256,256,4,8,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.992384,0.389427,10.125824,164343.945301,86.163558,10770444799.247694,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x512,4x4,table,direct-strided,global-scratch,2,256x512,4x4,shared,cufftdx-block,0,named-barrier,32,256,512,4,4,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.963904,0.389059,10.118624,164499.657784,86.245197,10780649572.564053,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x512,4x4,table,direct-strided,global-scratch,2,256x512,4x4,shared,cufftdx-block,0,named-barrier,32,256,512,4,4,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.945312,0.388956,10.106176,164542.965733,86.267902,10783487802.260681,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x512,4x4,table,direct-strided,global-scratch,2,256x512,4x4,shared,cufftdx-block,0,named-barrier,32,256,512,4,4,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.964352,0.388588,10.127616,164699.055759,86.349739,10793717318.230143,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x512,4x8,table,direct-strided,global-scratch,2,256x512,4x8,shared,cufftdx-block,0,named-barrier,32,256,512,4,8,4,16,8,1,0,0,16,65536,64,1,65536,100,50,10.946112,0.406323,10.110528,157510.082776,82.580646,10322580784.791840,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x512,4x8,table,direct-strided,global-scratch,2,256x512,4x8,shared,cufftdx-block,0,named-barrier,32,256,512,4,8,4,16,8,1,0,0,16,65536,64,1,65536,100,50,10.929088,0.405668,10.116288,157764.539022,82.714055,10339256829.352200,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x512,4x8,table,direct-strided,global-scratch,2,256x512,4x8,shared,cufftdx-block,0,named-barrier,32,256,512,4,8,4,16,8,1,0,0,16,65536,64,1,65536,100,50,10.950848,0.406036,10.121888,157621.299082,82.638956,10329869456.666473,0.000000,-1
