trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,gauss3,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,5.470208,0.140042,5.116096,116993268.385572,119.801107,29950276706.706356,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,gauss3,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,5.469440,0.139735,5.111648,117250473.771789,120.064485,30016121285.577972,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,5.470080,0.130458,5.113536,125588701.839584,128.602831,32150707670.933437,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,5.463104,0.130396,5.117376,125647874.245121,128.663423,32165855806.750931,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,5.462272,0.130478,5.108800,125568980.527249,128.582636,32145659014.975838,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,gauss3,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,5.465344,0.130519,5.117504,125529585.140925,128.542295,32135573796.076805,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,gauss3,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,5.468864,0.130519,5.109504,125529585.140925,128.542295,32135573796.076805,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,gauss3,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,5.468096,0.130499,5.114400,125549279.743674,128.562462,32140615614.380634,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,5.465568,0.130314,5.115872,125726867.161564,128.744312,32186077993.360504,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,5.467456,0.130273,5.107424,125766386.492089,128.784780,32196194941.974895,0.000000,-1
