trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,local_exchange,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,128,0,0,0,0,10,1024,4096,1,1024,20,100,2.799072,0.044677,2.610656,91680037.283321,469.401791,93880358178.120880,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,256,0,0,0,0,12,4096,1024,1,4096,20,100,2.832480,0.045199,2.676416,22655187.687972,556.773893,92795648769.934097,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,256,0,0,0,0,12,4096,1024,1,4096,20,100,2.800896,0.045066,2.675360,22722108.019284,558.418527,93069754446.986649,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,256,0,0,0,0,12,4096,1024,1,4096,20,100,2.799616,0.045199,2.669408,22655187.687972,556.773893,92795648769.934097,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,256,0,0,0,0,12,4096,1024,1,4096,20,100,2.795392,0.045220,2.666528,22644926.362156,556.521710,92753618379.389603,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,256,0,0,0,0,12,4096,1024,1,4096,20,100,2.792128,0.045087,2.743136,22711785.996633,558.164853,93027475442.208893,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,256,0,0,0,0,14,16384,256,1,16384,20,100,2.773312,0.055849,3.792384,4583791.726180,525.705905,75100843641.726456,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,256,0,0,0,0,14,16384,256,1,16384,20,100,2.808288,0.055777,4.455936,4589682.575216,526.381515,75197359312.342773,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,256,0,0,0,0,14,16384,256,1,16384,20,100,2.788896,0.056003,2.669664,4571219.519522,524.264024,74894860607.849365,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,256,0,0,0,0,14,16384,256,1,16384,20,100,2.792032,0.056064,3.964128,4566210.168600,523.689512,74812787402.335144,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,256,0,0,0,0,14,16384,256,1,16384,20,100,2.770176,0.055992,3.504224,4572055.581503,524.359911,74908558647.346786,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,256,0,0,0,0,15,32768,128,1,32768,20,100,2.765920,0.069284,2.722112,1847472.775002,454.034909,60537987891.252060,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,256,0,0,0,0,15,32768,128,1,32768,20,100,2.791168,0.069222,3.913056,1849112.476729,454.437882,60591717637.439674,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,256,0,0,0,0,15,32768,128,1,32768,20,100,2.781056,0.069202,4.116000,1849659.757342,454.572382,60609650928.574165,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,256,0,0,0,0,15,32768,128,1,32768,20,100,2.786656,0.069294,3.527328,1847199.641653,453.967784,60529037857.700027,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,256,0,0,0,0,15,32768,128,1,32768,20,100,2.769952,0.069243,2.667648,1848565.519880,454.303462,60573794955.434174,0.000000,-1
